

TIME =   1.200e+01

Nodal Displacements

 Node          U1          U2 
    1   0.000e+00   0.000e+00
    2   1.692e-03   4.843e-04
    3   3.065e-03   1.433e-03
    4   4.252e-03   2.795e-03
    5   5.324e-03   4.504e-03
    6   6.317e-03   6.531e-03
    7   7.251e-03   8.852e-03
    8   8.138e-03   1.145e-02
    9   8.987e-03   1.431e-02
   10   9.805e-03   1.742e-02
   11   1.060e-02   2.078e-02
   12   1.137e-02   2.436e-02
   13   1.211e-02   2.818e-02
   14   1.284e-02   3.222e-02
   15   1.355e-02   3.648e-02
   16   1.423e-02   4.095e-02
   17   1.488e-02   4.564e-02
   18   1.550e-02   5.055e-02
   19   1.609e-02   5.566e-02
   20   1.663e-02   6.097e-02
   21   1.712e-02   6.647e-02
   22   1.756e-02   7.217e-02
   23   1.794e-02   7.803e-02
   24   1.824e-02   8.405e-02
   25   1.847e-02   9.019e-02
   26   1.863e-02   9.644e-02
   27   1.873e-02   1.027e-01
   28   1.877e-02   1.091e-01
   29   1.877e-02   1.153e-01
   30   1.876e-02   1.216e-01
   31   1.876e-02   1.278e-01
   32   0.000e+00   0.000e+00
   33   6.159e-04   2.849e-04
   34   1.360e-03   1.223e-03
   35   2.115e-03   2.580e-03
   36   2.841e-03   4.296e-03
   37   3.531e-03   6.332e-03
   38   4.187e-03   8.662e-03
   39   4.814e-03   1.127e-02
   40   5.417e-03   1.413e-02
   41   5.999e-03   1.725e-02
   42   6.564e-03   2.061e-02
   43   7.114e-03   2.420e-02
   44   7.650e-03   2.802e-02
   45   8.172e-03   3.206e-02
   46   8.679e-03   3.633e-02
   47   9.170e-03   4.081e-02
   48   9.642e-03   4.550e-02
   49   1.009e-02   5.041e-02
   50   1.052e-02   5.553e-02
   51   1.091e-02   6.085e-02
   52   1.127e-02   6.636e-02
   53   1.159e-02   7.207e-02
   54   1.186e-02   7.795e-02
   55   1.209e-02   8.398e-02
   56   1.227e-02   9.014e-02
   57   1.240e-02   9.640e-02
   58   1.248e-02   1.027e-01
   59   1.253e-02   1.091e-01
   60   1.255e-02   1.154e-01
   61   1.256e-02   1.216e-01
   62   1.256e-02   1.278e-01
   63   0.000e+00   0.000e+00
   64   1.921e-04   3.367e-04
   65   3.952e-04   1.196e-03
   66   6.497e-04   2.513e-03
   67   9.409e-04   4.208e-03
   68   1.251e-03   6.233e-03
   69   1.567e-03   8.559e-03
   70   1.885e-03   1.116e-02
   71   2.202e-03   1.403e-02
   72   2.517e-03   1.715e-02
   73   2.830e-03   2.050e-02
   74   3.141e-03   2.409e-02
   75   3.450e-03   2.791e-02
   76   3.758e-03   3.195e-02
   77   4.062e-03   3.621e-02
   78   4.362e-03   4.069e-02
   79   4.656e-03   4.538e-02
   80   4.940e-03   5.029e-02
   81   5.211e-03   5.541e-02
   82   5.465e-03   6.073e-02
   83   5.698e-03   6.625e-02
   84   5.906e-03   7.196e-02
   85   6.084e-03   7.785e-02
   86   6.230e-03   8.390e-02
   87   6.341e-03   9.008e-02
   88   6.416e-03   9.637e-02
   89   6.458e-03   1.027e-01
   90   6.471e-03   1.091e-01
   91   6.462e-03   1.154e-01
   92   6.444e-03   1.217e-01
   93   6.434e-03   1.278e-01
   94   0.000e+00   0.000e+00
   95  -1.728e-04   4.152e-04
   96  -3.310e-04   1.289e-03
   97  -4.678e-04   2.584e-03
   98  -5.714e-04   4.254e-03
   99  -6.410e-04   6.260e-03
  100  -6.812e-04   8.571e-03
  101  -6.971e-04   1.116e-02
  102  -6.927e-04   1.402e-02
  103  -6.711e-04   1.713e-02
  104  -6.338e-04   2.047e-02
  105  -5.821e-04   2.405e-02
  106  -5.169e-04   2.786e-02
  107  -4.389e-04   3.189e-02
  108  -3.493e-04   3.614e-02
  109  -2.494e-04   4.061e-02
  110  -1.413e-04   4.529e-02
  111  -2.743e-05   5.019e-02
  112   8.903e-05   5.530e-02
  113   2.043e-04   6.061e-02
  114   3.142e-04   6.613e-02
  115   4.140e-04   7.185e-02
  116   4.991e-04   7.775e-02
  117   5.648e-04   8.381e-02
  118   6.072e-04   9.002e-02
  119   6.236e-04   9.635e-02
  120   6.134e-04   1.027e-01
  121   5.791e-04   1.092e-01
  122   5.279e-04   1.155e-01
  123   4.737e-04   1.218e-01
  124   4.415e-04   1.279e-01
  125   0.000e+00   0.000e+00
  126  -4.901e-04   5.048e-04
  127  -9.735e-04   1.426e-03
  128  -1.440e-03   2.736e-03
  129  -1.882e-03   4.404e-03
  130  -2.293e-03   6.399e-03
  131  -2.672e-03   8.696e-03
  132  -3.018e-03   1.127e-02
  133  -3.332e-03   1.411e-02
  134  -3.615e-03   1.720e-02
  135  -3.869e-03   2.053e-02
  136  -4.094e-03   2.410e-02
  137  -4.291e-03   2.788e-02
  138  -4.460e-03   3.189e-02
  139  -4.602e-03   3.612e-02
  140  -4.718e-03   4.057e-02
  141  -4.809e-03   4.523e-02
  142  -4.876e-03   5.010e-02
  143  -4.923e-03   5.519e-02
  144  -4.953e-03   6.049e-02
  145  -4.970e-03   6.600e-02
  146  -4.979e-03   7.171e-02
  147  -4.987e-03   7.762e-02
  148  -4.998e-03   8.370e-02
  149  -5.021e-03   8.995e-02
  150  -5.060e-03   9.633e-02
  151  -5.119e-03   1.028e-01
  152  -5.197e-03   1.093e-01
  153  -5.290e-03   1.158e-01
  154  -5.381e-03   1.221e-01
  155  -5.438e-03   1.281e-01
  156   0.000e+00   0.000e+00
  157  -7.814e-04   6.045e-04
  158  -1.560e-03   1.592e-03
  159  -2.328e-03   2.941e-03
  160  -3.077e-03   4.629e-03
  161  -3.801e-03   6.629e-03
  162  -4.495e-03   8.922e-03
  163  -5.156e-03   1.149e-02
  164  -5.782e-03   1.431e-02
  165  -6.371e-03   1.739e-02
  166  -6.923e-03   2.069e-02
  167  -7.437e-03   2.423e-02
  168  -7.912e-03   2.799e-02
  169  -8.346e-03   3.197e-02
  170  -8.740e-03   3.617e-02
  171  -9.092e-03   4.058e-02
  172  -9.402e-03   4.520e-02
  173  -9.671e-03   5.004e-02
  174  -9.898e-03   5.510e-02
  175  -1.009e-02   6.037e-02
  176  -1.024e-02   6.586e-02
  177  -1.037e-02   7.156e-02
  178  -1.047e-02   7.746e-02
  179  -1.056e-02   8.356e-02
  180  -1.064e-02   8.985e-02
  181  -1.073e-02   9.629e-02
  182  -1.083e-02   1.029e-01
  183  -1.095e-02   1.095e-01
  184  -1.107e-02   1.161e-01
  185  -1.120e-02   1.225e-01
  186  -1.128e-02   1.286e-01
  187   0.000e+00   0.000e+00
  188  -1.052e-03   7.149e-04
  189  -2.106e-03   1.785e-03
  190  -3.155e-03   3.191e-03
  191  -4.190e-03   4.915e-03
  192  -5.206e-03   6.936e-03
  193  -6.197e-03   9.237e-03
  194  -7.158e-03   1.180e-02
  195  -8.086e-03   1.462e-02
  196  -8.978e-03   1.767e-02
  197  -9.830e-03   2.096e-02
  198  -1.064e-02   2.447e-02
  199  -1.141e-02   2.819e-02
  200  -1.212e-02   3.214e-02
  201  -1.279e-02   3.629e-02
  202  -1.341e-02   4.066e-02
  203  -1.396e-02   4.523e-02
  204  -1.446e-02   5.002e-02
  205  -1.490e-02   5.503e-02
  206  -1.528e-02   6.026e-02
  207  -1.560e-02   6.570e-02
  208  -1.586e-02   7.137e-02
  209  -1.607e-02   7.726e-02
  210  -1.624e-02   8.337e-02
  211  -1.639e-02   8.970e-02
  212  -1.651e-02   9.622e-02
  213  -1.664e-02   1.029e-01
  214  -1.678e-02   1.097e-01
  215  -1.693e-02   1.165e-01
  216  -1.708e-02   1.232e-01
  217  -1.720e-02   1.294e-01
  218   0.000e+00   0.000e+00
  219  -1.304e-03   8.369e-04
  220  -2.615e-03   2.003e-03
  221  -3.926e-03   3.482e-03
  222  -5.230e-03   5.257e-03
  223  -6.521e-03   7.313e-03
  224  -7.792e-03   9.635e-03
  225  -9.041e-03   1.221e-02
  226  -1.026e-02   1.502e-02
  227  -1.145e-02   1.807e-02
  228  -1.260e-02   2.133e-02
  229  -1.371e-02   2.482e-02
  230  -1.478e-02   2.851e-02
  231  -1.580e-02   3.241e-02
  232  -1.676e-02   3.651e-02
  233  -1.767e-02   4.083e-02
  234  -1.851e-02   4.534e-02
  235  -1.928e-02   5.007e-02
  236  -1.997e-02   5.501e-02
  237  -2.058e-02   6.017e-02
  238  -2.111e-02   6.555e-02
  239  -2.154e-02   7.116e-02
  240  -2.190e-02   7.702e-02
  241  -2.217e-02   8.312e-02
  242  -2.239e-02   8.947e-02
  243  -2.256e-02   9.607e-02
  244  -2.271e-02   1.029e-01
  245  -2.286e-02   1.099e-01
  246  -2.302e-02   1.170e-01
  247  -2.319e-02   1.240e-01
  248  -2.334e-02   1.306e-01
  249   0.000e+00   0.000e+00
  250  -1.538e-03   9.709e-04
  251  -3.087e-03   2.246e-03
  252  -4.643e-03   3.810e-03
  253  -6.197e-03   5.651e-03
  254  -7.745e-03   7.755e-03
  255  -9.282e-03   1.011e-02
  256  -1.080e-02   1.270e-02
  257  -1.230e-02   1.553e-02
  258  -1.378e-02   1.857e-02
  259  -1.523e-02   2.182e-02
  260  -1.664e-02   2.528e-02
  261  -1.802e-02   2.894e-02
  262  -1.935e-02   3.281e-02
  263  -2.063e-02   3.686e-02
  264  -2.186e-02   4.112e-02
  265  -2.302e-02   4.557e-02
  266  -2.411e-02   5.022e-02
  267  -2.511e-02   5.508e-02
  268  -2.602e-02   6.015e-02
  269  -2.682e-02   6.544e-02
  270  -2.750e-02   7.097e-02
  271  -2.807e-02   7.675e-02
  272  -2.851e-02   8.281e-02
  273  -2.883e-02   8.916e-02
  274  -2.906e-02   9.582e-02
  275  -2.923e-02   1.028e-01
  276  -2.938e-02   1.101e-01
  277  -2.953e-02   1.176e-01
  278  -2.971e-02   1.251e-01
  279  -2.989e-02   1.322e-01
  280   0.000e+00   0.000e+00
  281  -1.752e-03   1.116e-03
  282  -3.521e-03   2.511e-03
  283  -5.301e-03   4.174e-03
  284  -7.087e-03   6.092e-03
  285  -8.874e-03   8.257e-03
  286  -1.066e-02   1.066e-02
  287  -1.243e-02   1.328e-02
  288  -1.420e-02   1.612e-02
  289  -1.595e-02   1.917e-02
  290  -1.768e-02   2.243e-02
  291  -1.939e-02   2.587e-02
  292  -2.107e-02   2.951e-02
  293  -2.272e-02   3.334e-02
  294  -2.433e-02   3.736e-02
  295  -2.590e-02   4.156e-02
  296  -2.741e-02   4.594e-02
  297  -2.886e-02   5.052e-02
  298  -3.024e-02   5.529e-02
  299  -3.152e-02   6.026e-02
  300  -3.269e-02   6.544e-02
  301  -3.374e-02   7.085e-02
  302  -3.464e-02   7.652e-02
  303  -3.536e-02   8.248e-02
  304  -3.591e-02   8.876e-02
  305  -3.627e-02   9.541e-02
  306  -3.649e-02   1.025e-01
  307  -3.662e-02   1.101e-01
  308  -3.676e-02   1.181e-01
  309  -3.692e-02   1.263e-01
  310  -3.713e-02   1.343e-01
  311   0.000e+00   0.000e+00
  312  -1.946e-03   1.271e-03
  313  -3.913e-03   2.797e-03
  314  -5.898e-03   4.567e-03
  315  -7.895e-03   6.575e-03
  316  -9.900e-03   8.812e-03
  317  -1.191e-02   1.127e-02
  318  -1.392e-02   1.394e-02
  319  -1.593e-02   1.681e-02
  320  -1.794e-02   1.988e-02
  321  -1.993e-02   2.314e-02
  322  -2.192e-02   2.659e-02
  323  -2.389e-02   3.022e-02
  324  -2.585e-02   3.403e-02
  325  -2.778e-02   3.801e-02
  326  -2.969e-02   4.217e-02
  327  -3.157e-02   4.650e-02
  328  -3.341e-02   5.100e-02
  329  -3.520e-02   5.569e-02
  330  -3.692e-02   6.056e-02
  331  -3.856e-02   6.563e-02
  332  -4.009e-02   7.092e-02
  333  -4.149e-02   7.644e-02
  334  -4.272e-02   8.224e-02
  335  -4.372e-02   8.837e-02
  336  -4.446e-02   9.491e-02
  337  -4.490e-02   1.020e-01
  338  -4.507e-02   1.097e-01
  339  -4.510e-02   1.183e-01
  340  -4.528e-02   1.276e-01
  341  -4.545e-02   1.370e-01
  342   0.000e+00   0.000e+00
  343  -2.119e-03   1.434e-03
  344  -4.265e-03   3.098e-03
  345  -6.433e-03   4.986e-03
  346  -8.619e-03   7.093e-03
  347  -1.082e-02   9.412e-03
  348  -1.303e-02   1.194e-02
  349  -1.525e-02   1.466e-02
  350  -1.748e-02   1.757e-02
  351  -1.972e-02   2.068e-02
  352  -2.196e-02   2.396e-02
  353  -2.420e-02   2.742e-02
  354  -2.644e-02   3.105e-02
  355  -2.868e-02   3.485e-02
  356  -3.092e-02   3.882e-02
  357  -3.315e-02   4.295e-02
  358  -3.538e-02   4.724e-02
  359  -3.759e-02   5.170e-02
  360  -3.979e-02   5.633e-02
  361  -4.197e-02   6.112e-02
  362  -4.411e-02   6.610e-02
  363  -4.621e-02   7.127e-02
  364  -4.825e-02   7.665e-02
  365  -5.018e-02   8.228e-02
  366  -5.197e-02   8.821e-02
  367  -5.354e-02   9.453e-02
  368  -5.477e-02   1.014e-01
  369  -5.552e-02   1.090e-01
  370  -5.564e-02   1.178e-01
  371  -5.531e-02   1.286e-01
  372  -5.580e-02   1.405e-01
  373   0.000e+00   0.000e+00
  374  -2.273e-03   1.602e-03
  375  -4.576e-03   3.411e-03
  376  -6.905e-03   5.424e-03
  377  -9.258e-03   7.638e-03
  378  -1.163e-02   1.005e-02
  379  -1.402e-02   1.265e-02
  380  -1.643e-02   1.544e-02
  381  -1.886e-02   1.841e-02
  382  -2.129e-02   2.155e-02
  383  -2.374e-02   2.487e-02
  384  -2.621e-02   2.835e-02
  385  -2.868e-02   3.200e-02
  386  -3.117e-02   3.580e-02
  387  -3.368e-02   3.977e-02
  388  -3.619e-02   4.389e-02
  389  -3.873e-02   4.817e-02
  390  -4.128e-02   5.260e-02
  391  -4.384e-02   5.719e-02
  392  -4.643e-02   6.194e-02
  393  -4.904e-02   6.686e-02
  394  -5.168e-02   7.196e-02
  395  -5.434e-02   7.725e-02
  396  -5.702e-02   8.277e-02
  397  -5.973e-02   8.856e-02
  398  -6.243e-02   9.468e-02
  399  -6.511e-02   1.013e-01
  400  -6.764e-02   1.085e-01
  401  -6.977e-02   1.170e-01
  402  -7.074e-02   1.277e-01
  403  -6.921e-02   1.449e-01
  404   0.000e+00   0.000e+00
  405  -2.408e-03   1.773e-03
  406  -4.849e-03   3.731e-03
  407  -7.320e-03   5.874e-03
  408  -9.818e-03   8.201e-03
  409  -1.234e-02   1.071e-02
  410  -1.489e-02   1.340e-02
  411  -1.746e-02   1.626e-02
  412  -2.005e-02   1.929e-02
  413  -2.266e-02   2.248e-02
  414  -2.529e-02   2.584e-02
  415  -2.794e-02   2.936e-02
  416  -3.062e-02   3.303e-02
  417  -3.332e-02   3.686e-02
  418  -3.604e-02   4.084e-02
  419  -3.880e-02   4.497e-02
  420  -4.158e-02   4.924e-02
  421  -4.440e-02   5.367e-02
  422  -4.727e-02   5.825e-02
  423  -5.018e-02   6.299e-02
  424  -5.315e-02   6.788e-02
  425  -5.620e-02   7.295e-02
  426  -5.933e-02   7.822e-02
  427  -6.258e-02   8.370e-02
  428  -6.598e-02   8.944e-02
  429  -6.958e-02   9.550e-02
  430  -7.347e-02   1.020e-01
  431  -7.781e-02   1.091e-01
  432  -8.291e-02   1.173e-01
  433  -8.954e-02   1.273e-01
  434  -9.996e-02   1.455e-01
  435   0.000e+00   0.000e+00
  436  -2.527e-03   1.944e-03
  437  -5.087e-03   4.053e-03
  438  -7.680e-03   6.330e-03
  439  -1.030e-02   8.775e-03
  440  -1.296e-02   1.139e-02
  441  -1.563e-02   1.416e-02
  442  -1.834e-02   1.710e-02
  443  -2.107e-02   2.020e-02
  444  -2.383e-02   2.346e-02
  445  -2.661e-02   2.687e-02
  446  -2.942e-02   3.043e-02
  447  -3.226e-02   3.414e-02
  448  -3.513e-02   3.799e-02
  449  -3.803e-02   4.199e-02
  450  -4.097e-02   4.614e-02
  451  -4.395e-02   5.043e-02
  452  -4.698e-02   5.486e-02
  453  -5.006e-02   5.944e-02
  454  -5.320e-02   6.418e-02
  455  -5.642e-02   6.908e-02
  456  -5.973e-02   7.414e-02
  457  -6.315e-02   7.940e-02
  458  -6.671e-02   8.488e-02
  459  -7.044e-02   9.062e-02
  460  -7.440e-02   9.668e-02
  461  -7.867e-02   1.032e-01
  462  -8.334e-02   1.103e-01
  463  -8.857e-02   1.183e-01
  464  -9.455e-02   1.282e-01
  465  -9.998e-02   1.366e-01
  466   0.000e+00   0.000e+00
  467  -2.630e-03   2.112e-03
  468  -5.295e-03   4.373e-03
  469  -7.993e-03   6.785e-03
  470  -1.072e-02   9.352e-03
  471  -1.349e-02   1.207e-02
  472  -1.628e-02   1.495e-02
  473  -1.910e-02   1.797e-02
  474  -2.195e-02   2.114e-02
  475  -2.483e-02   2.446e-02
  476  -2.773e-02   2.793e-02
  477  -3.067e-02   3.153e-02
  478  -3.364e-02   3.528e-02
  479  -3.664e-02   3.917e-02
  480  -3.968e-02   4.320e-02
  481  -4.276e-02   4.736e-02
  482  -4.588e-02   5.167e-02
  483  -4.906e-02   5.612e-02
  484  -5.229e-02   6.071e-02
  485  -5.558e-02   6.545e-02
  486  -5.895e-02   7.035e-02
  487  -6.241e-02   7.542e-02
  488  -6.598e-02   8.067e-02
  489  -6.966e-02   8.613e-02
  490  -7.350e-02   9.183e-02
  491  -7.751e-02   9.784e-02
  492  -8.174e-02   1.042e-01
  493  -8.621e-02   1.111e-01
  494  -9.091e-02   1.185e-01
  495  -9.561e-02   1.260e-01
  496  -9.998e-02   1.317e-01
  497   0.000e+00   0.000e+00
  498  -2.720e-03   2.278e-03
  499  -5.476e-03   4.688e-03
  500  -8.266e-03   7.237e-03
  501  -1.109e-02   9.926e-03
  502  -1.394e-02   1.276e-02
  503  -1.683e-02   1.573e-02
  504  -1.975e-02   1.884e-02
  505  -2.270e-02   2.209e-02
  506  -2.567e-02   2.547e-02
  507  -2.868e-02   2.900e-02
  508  -3.172e-02   3.266e-02
  509  -3.479e-02   3.645e-02
  510  -3.790e-02   4.037e-02
  511  -4.104e-02   4.443e-02
  512  -4.422e-02   4.862e-02
  513  -4.745e-02   5.295e-02
  514  -5.072e-02   5.741e-02
  515  -5.405e-02   6.201e-02
  516  -5.744e-02   6.675e-02
  517  -6.090e-02   7.164e-02
  518  -6.444e-02   7.669e-02
  519  -6.806e-02   8.191e-02
  520  -7.178e-02   8.732e-02
  521  -7.561e-02   9.294e-02
  522  -7.956e-02   9.881e-02
  523  -8.364e-02   1.049e-01
  524  -8.782e-02   1.113e-01
  525  -9.204e-02   1.178e-01
  526  -9.615e-02   1.238e-01
  527  -9.998e-02   1.285e-01
  528   0.000e+00   0.000e+00
  529  -2.800e-03   2.438e-03
  530  -5.636e-03   4.996e-03
  531  -8.505e-03   7.680e-03
  532  -1.141e-02   1.049e-02
  533  -1.434e-02   1.343e-02
  534  -1.731e-02   1.651e-02
  535  -2.031e-02   1.971e-02
  536  -2.334e-02   2.303e-02
  537  -2.639e-02   2.649e-02
  538  -2.948e-02   3.007e-02
  539  -3.260e-02   3.378e-02
  540  -3.575e-02   3.762e-02
  541  -3.893e-02   4.158e-02
  542  -4.215e-02   4.567e-02
  543  -4.541e-02   4.988e-02
  544  -4.871e-02   5.423e-02
  545  -5.206e-02   5.870e-02
  546  -5.545e-02   6.330e-02
  547  -5.890e-02   6.804e-02
  548  -6.240e-02   7.291e-02
  549  -6.596e-02   7.793e-02
  550  -6.960e-02   8.309e-02
  551  -7.330e-02   8.842e-02
  552  -7.708e-02   9.391e-02
  553  -8.093e-02   9.957e-02
  554  -8.485e-02   1.054e-01
  555  -8.878e-02   1.112e-01
  556  -9.268e-02   1.170e-01
  557  -9.643e-02   1.221e-01
  558  -9.999e-02   1.262e-01
  559   0.000e+00   0.000e+00
  560  -2.872e-03   2.593e-03
  561  -5.779e-03   5.296e-03
  562  -8.719e-03   8.114e-03
  563  -1.169e-02   1.105e-02
  564  -1.470e-02   1.410e-02
